id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
148511,"The Arc, Cyberjaya",3,2,1,1600,19200,946.0,FULL,HIGHRISE,Cyberjaya,Selangor,True,2.926707,101.636746,https://speedhome.com/reels/the-arc-cyberjaya-wewdkuvg
145013,Teratak Damai Unit C,1,1,1,800,9600,,PARTIAL,ROOM,Kajang,Selangor,True,3.0978152,101.6831845,https://speedhome.com/reels/teratak-damai-unit-c-uulkyxxh
144546,"Tiara Imperio Residence, Bangi",0,1,1,1200,14400,450.0,PARTIAL,HIGHRISE,Kajang,Selangor,False,2.9368692341,101.7982435226,https://speedhome.com/reels/tiara-imperio-residence-bangi-uzqxbxrj
144410,Cyberjaya @ Cyberia Smarthomes (Town Villa),1,1,0,550,6600,,FULL,ROOM,Cyberjaya,Selangor,True,2.9259201658679195,101.63979253653942,https://speedhome.com/reels/cyberjaya-cyberia-smarthomes-town-villa-lhtgemna
143830,"Green Park, Seri Kembangan , Serdang, Tanming Jaya, Taman Balakong Jaya",1,1,0,400,4800,,FULL,ROOM,Seri Kembangan,Selangor,False,3.002414416121645,101.73311820682684,https://speedhome.com/reels/green-park-seri-kembangan-serdang-tanming-jaya-taman-balakong-jaya-ocxrqqou
142256,"Sri Cempaka Apartment, Kajang",3,2,2,1200,14400,947.0,PARTIAL,HIGHRISE,,,False,2.9737809172,101.7824479938,https://speedhome.com/reels/sri-cempaka-apartment-kajang-apqchfom
136104,"Sky Park, Cyberjaya",2,1,0,1250,15000,556.0,FULL,HIGHRISE,,,False,2.9499411461,101.6550564766,https://speedhome.com/reels/sky-park-cyberjaya-xznlbdlo
135307,"Fortune Park, Seri Kembangan",1,1,0,3980,47760,,NONE,ROOM,,,True,3.0365529,101.7069474,https://speedhome.com/reels/fortune-park-seri-kembangan-kndevdzo
135234,"Fortune Park, Seri Kembangan",3,2,1,3790,45480,970.0,PARTIAL,HIGHRISE,,,True,3.0365654336,101.7069196701,https://speedhome.com/reels/fortune-park-seri-kembangan-bdrfjthe
135233,"Fortune Park, Seri Kembangan",3,2,1,2800,33600,920.0,FULL,HIGHRISE,,,False,3.0365529,101.7069474,https://speedhome.com/reels/fortune-park-seri-kembangan-gcyemptl
132662,Skypark Cyberjaya,0,1,0,1500,18000,554.0,FULL,HIGHRISE,,,True,2.9499411461,101.6550564766,https://speedhome.com/reels/skypark-cyberjaya-tcficppb
132039,"Silk Sky, Balakong",0,1,1,1400,16800,484.0,FULL,HIGHRISE,,,False,3.027086,101.750595,https://speedhome.com/reels/silk-sky-balakong-auhgujju
131895,"Setia Alamsari, Kajang",5,4,2,2100,25200,2420.0,PARTIAL,LANDED,,,False,2.9122368765238704,101.80376244126266,https://speedhome.com/reels/ilham-alam-sari-pppbxukk
131041,"Cyber Heights Villa, Cyberjaya",3,2,2,1700,20400,1690.0,PARTIAL,HIGHRISE,,,False,2.9070854,101.662077,https://speedhome.com/reels/cyberjaya-cyber-heights-villa-pemgmzcq
129819,"Greenview Residence, Bandar Sungai Long",3,2,1,1200,14400,1360.0,PARTIAL,HIGHRISE,,,False,3.038311777,101.8028086424,https://speedhome.com/reels/greenview-residence-bandar-sungai-long-etzhudns
128652,"East Lake Residence, Seri Kembangan",3,2,1,2000,24000,1093.0,PARTIAL,HIGHRISE,,,True,3.033233,101.70707,https://speedhome.com/reels/east-lake-residence-seri-kembangan-zgzetpnk
128046,"Crescent Park Town Villa, Bandar Bukit Mahkota",4,4,2,2300,27600,1800.0,FULL,LANDED,,,False,2.8805797110278695,101.79904132772417,https://speedhome.com/reels/crescent-park-town-villa-bandar-bukit-mahkota-gsrcemfk
127944,"Eclipse Residence, Cyberjaya",3,2,2,2500,30000,990.0,FULL,HIGHRISE,,,False,2.9243285,101.6346658,https://speedhome.com/reels/eclipse-residence-cyberjaya-zmupyihu
122788,"The Domain, Cyberjaya",0,1,1,1200,14400,430.0,PARTIAL,HIGHRISE,,,False,2.918724,101.647621,https://speedhome.com/reels/the-domain-cyberjaya-fkpslisk
121984,Putra Residence Putra Heights @ Subang Jaya,3,2,2,3200,38400,1109.0,FULL,HIGHRISE,,,True,3.0152769592,101.5739035606,https://speedhome.com/reels/condominium-putra-heights-putra-residence-hptlxugj
121559,"Paragon 3, Bandar Putra Permai",4,3,2,2250,27000,1487.0,FULL,HIGHRISE,,,True,2.9936344998,101.6502177715,https://speedhome.com/reels/paragon-3-bandar-putra-permai-qyzyvfyu
120059,"Solstice, Cyberjaya",2,2,2,2000,24000,980.0,FULL,HIGHRISE,,,False,2.9228023231,101.6365444659,https://speedhome.com/reels/solstice-cyberjaya-vwhmutiy
119175,"CloudTree, Bandar Damai Perdana",1,1,0,550,6600,,FULL,ROOM,,,False,3.0468601,101.7348534,https://speedhome.com/reels/cloudtree-bandar-damai-perdana-kvirwxjh
118038,"CloudTree, Bandar Damai Perdana",1,1,0,750,9000,,FULL,ROOM,,,False,3.042605,101.7326344,https://speedhome.com/reels/cloudtree-bandar-damai-perdana-xnrehagn
116311,"Garden Plaza @ Garden Residence, Cyberjaya",1,1,1,1250,15000,450.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9493425,101.6651885,https://speedhome.com/reels/garden-plaza-garden-residence-cyberjaya-wnueyvrg
115643,"Eclipse Residence @ Pan'gaea, Cyberjaya",3,2,2,2500,30000,990.0,FULL,HIGHRISE,,,False,2.9244829206,101.6352510452,https://speedhome.com/reels/eclipse-residence-pangaea-cyberjaya-capusnav
114061,"Sutera Pines, Bandar Sungai Long",3,2,1,1350,16200,1118.0,PARTIAL,HIGHRISE,,,False,3.0264819,101.814474,https://speedhome.com/reels/sutera-pines-bandar-sungai-long-rzoggvsh
111645,"Tiara Imperio Residence, Bangi",0,1,1,1300,15600,450.0,FULL,HIGHRISE,,,False,2.9365504991298703,101.79796556723528,https://speedhome.com/reels/tiara-imperio-bangi-fully-furnish-designer-studio-ofdstdgj
110658,"Savanna Executive Suites, Southville City",3,2,2,1500,18000,956.0,FULL,HIGHRISE,,,False,2.9027529678,101.7638254166,https://speedhome.com/reels/savanna-executive-suites-southville-city-cfopunub
109503,"Savanna Executive Suites, Southville City",1,1,2,220,2640,,PARTIAL,ROOM,,,True,2.9027529678,101.7638254166,https://speedhome.com/reels/savanna-executive-suites-southville-city-gqccbuwz
107217,"Villa Pavilion, Seri Kembangan",3,2,1,1500,18000,915.0,PARTIAL,HIGHRISE,,,False,3.0432186655,101.6944634914,https://speedhome.com/reels/villa-pavilion-seri-kembangan-xxqlcspt
102324,"3 Elements SOFO, Seri Kembangan",1,1,1,1500,18000,531.0,FULL,HIGHRISE,,,False,2.9825572,101.667597,https://speedhome.com/reels/3-elements-sofo-seri-kembangan-enptsjwq
99092,"Solstice @ Pan'gaea, Cyberjaya",2,2,1,1990,23880,980.0,FULL,HIGHRISE,,,True,2.9233165,101.6375888,https://speedhome.com/reels/solstice-pangaea-cyberjaya-jrshgdan
97080,"3Elements, Bandar Putra Permai",3,2,3,1600,19200,770.0,PARTIAL,HIGHRISE,,,False,2.982860000000001,101.665301,https://speedhome.com/reels/3elements-bandar-putra-permai-cpiebgus
92927,"Taman Tropika 2, Kajang",3,2,1,1000,12000,836.0,PARTIAL,HIGHRISE,,,True,2.9419293106055173,101.79358710942414,https://speedhome.com/reels/taman-tropika-2-kajang-djyrpmxr
91860,The Domain 4 Cyberjaya,1,1,0,1500,18000,499.0,FULL,HIGHRISE,,,False,2.9164788892,101.6491448879,https://speedhome.com/reels/the-domain-4-cyberjaya-bpnzhqcm
71106,"Cyberia SmartHomes, Cyberjaya",3,2,1,2180,26160,1150.0,FULL,HIGHRISE,,,False,2.924547,101.639113,https://speedhome.com/reels/cyberia-smarthomes-cyberjaya-cawgfzcx
70295,"The Academia @ South City Plaza, Seri Kembangan",3,2,1,1500,18000,753.0,PARTIAL,HIGHRISE,,,True,3.029403,101.70918,https://speedhome.com/reels/the-academia-south-city-plaza-seri-kembangan-sqqeicrj
28410,"The Domain @ NeoCyber, Cyberjaya",2,1,1,1200,14400,548.0,FULL,HIGHRISE,,,False,2.915978958183914,101.6490919500645,https://speedhome.com/reels/the-domain-neocyber-cyberjaya-vxnefzdy
14756,"The Place, Cyberjaya",1,1,0,1400,16800,549.0,FULL,HIGHRISE,Cyberjaya,Selangor,False,2.9385193036,101.660887599,https://speedhome.com/reels/the-place-cyberjaya-bhjupkar
