id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
251854,"The Azure Residences, Kelana Jaya",1,1,0,1400,16800,,FULL,ROOM,Petaling Jaya,Selangor,False,3.1043371,101.5960487,https://speedhome.com/reels/the-azure-residences-kelana-jaya-dfmltwuk
251393,"PJS 7, Bandar Sunway, Petaling Jaya",1,1,0,490,5880,,PARTIAL,ROOM,Subang Jaya,Selangor,False,3.0716728,101.6140331,https://speedhome.com/reels/pjs-7-bandar-sunway-petaling-jaya-vprbmnqn
251237,"Maxwell Towers, Petaling Jaya",1,1,0,650,7800,,FULL,ROOM,Petaling Jaya,Selangor,False,3.0855118,101.6611711,https://speedhome.com/reels/maxwell-towers-petaling-jaya-fnsspqjz
251021,"Jalan Kajang 18, Petaling Jaya",1,1,2,880,10560,,FULL,ROOM,Petaling Jaya,Selangor,True,3.082907319188311,101.65763566244229,https://speedhome.com/reels/jalan-kajang-18-petaling-jaya-qmrgidqw
248828,"I Residence, Kota Damansara",1,1,0,800,9600,,FULL,ROOM,Petaling Jaya,Selangor,False,3.150575,101.582615,https://speedhome.com/reels/i-residence-kota-damansara-wbgupkoe
246289,"Boulevard 51, Petaling Jaya",0,1,1,1300,15600,473.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.087873,101.624888,https://speedhome.com/reels/boulevard-51-petaling-jaya-tbnlctbh
245953,"The Zizz Condominium, Damansara Damai",3,2,2,1700,20400,751.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-condominium-damansara-damai-ydsobuiz
245382,"Empire Damansara, Damansara Perdana",1,2,1,2100,25200,850.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1677474904870433,101.61243081090967,https://speedhome.com/reels/empire-damansara-damansara-perdana-dwdohwfx
245132,"Ridzuan Condominium, Bandar Sunway",0,1,1,1200,14400,520.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.079013,101.606412,https://speedhome.com/reels/ridzuan-condominium-bandar-sunway-yyiogune
244218,"SS14, Subang Jaya",1,1,0,550,6600,,PARTIAL,ROOM,Subang Jaya,Selangor,False,3.0670242565,101.5902543068,https://speedhome.com/reels/ss14-subang-jaya-picsipku
240433,"SuriaMas, Bandar Sunway",4,2,2,2200,26400,1245.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.080673128,101.605733335,https://speedhome.com/reels/suriamas-bandar-sunway-glwajwjs
238955,"HighPark Suites, Kelana Jaya",0,1,1,1100,13200,300.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1028119965,101.598944664,https://speedhome.com/reels/highpark-suites-kelana-jaya-zkysyplv
237568,The Grand SS13 Subang,2,2,1,2100,25200,548.0,FULL,HIGHRISE,Subang Jaya,Selangor,False,3.0701009,101.596767,https://speedhome.com/reels/the-grand-ss13-subang-dzpykosq
